Genus;Phylum;Core;Ent1;Ent2;Ent3;Ent4;Ent5;Core_1;Ent1_1;Ent2_1;Ent3_1;Ent4_1;Ent5_1;Core_2;Ent1_2;Ent2_2;Ent3_2;Ent4_2;Ent5_2
g__Bifidobacterium;s__Bifidobacterium_adolescentis;0;1;1;0;0;0;0;57.8;56.2;0;0;0;0;0.3117;0.787;0;0;0
g__Prevotella;s__Prevotella_copri;0;1;1;0;0;0;0;76.9;51.8;0;0;0;0;3.4564;1.8153;0;0;0
g__Prevotella;s__Prevotella_copri;0;1;1;0;0;0;0;68.7;51.2;0;0;0;0;2.4064;1.2711;0;0;0
g__Phocaeicola;s__Phocaeicola_plebeius;0;1;1;0;0;0;0;59.6;53.7;0;0;0;0;0.2568;0.3524;0;0;0
g__Phocaeicola;s__Phocaeicola_coprocola;0;1;1;0;0;0;0;56.6;51.8;0;0;0;0;0.6557;1.1931;0;0;0
g__[Eubacterium]_coprostanoligenes_group;s__[Eubacterium]_coprostanoligenes_KS10750;0;1;1;0;0;0;0;57.6;62.6;0;0;0;0;0.8495;1.2295;0;0;0
g__Coprococcus;s__Coprococcus_eutactus;0;1;1;0;0;0;0;60;55.2;0;0;0;0;0.8653;1.0799;0;0;0
g__Oscillospiraceae_UCG-002;s__Oscillospiraceae_UCG-002_KS13895;0;1;1;0;0;0;0;59.3;64.9;0;0;0;0;0.3619;0.9993;0;0;0
g__Prevotella;s__Prevotella_copri;0;1;1;0;0;0;0;81.6;59.6;0;0;0;0;4.5085;1.7981;0;0;0
g__[Eubacterium]_coprostanoligenes_group;s__[Eubacterium]_coprostanoligenes_KS16155;0;1;1;0;0;0;0;50.1;52.2;0;0;0;0;0.5309;0.681;0;0;0
g__Prevotella;s__Prevotella_KS04925;0;1;1;0;0;0;0;65.8;53.3;0;0;0;0;3.7489;2.1358;0;0;0
g__Parasutterella;s__Parasutterella_excrementihominis;0;1;1;0;0;0;0;50.1;50.7;0;0;0;0;0.2149;0.2604;0;0;0
g__Lachnoclostridium;s__Lachnoclostridium_urinimassiliense;0;0;0;1;0;1;0;0;0;75.6;0;92;0;0;0;0.5638;0;0.8864
g__[Ruminococcus]_torques_group;s__[Ruminococcus]_torques_KS19620;0;0;0;1;0;1;0;0;0;70.9;0;77;0;0;0;0.2603;0;0.344
g__Romboutsia;s__Romboutsia_ilealis;0;0;0;0;1;1;0;0;0;0;84.8;86.2;0;0;0;0;0.21;0.2322
g__Prevotella;s__Prevotella_copri;0;1;0;0;0;0;0;56.3;0;0;0;0;0;1.053;0;0;0;0
g__Prevotella;s__Prevotella_KS05145;0;1;0;0;0;0;0;52.6;0;0;0;0;0;0.7142;0;0;0;0
g__Prevotella;s__Prevotella_copri;0;1;0;0;0;0;0;61.3;0;0;0;0;0;4.1299;0;0;0;0
g__Prevotella;s__Prevotella_KS04925;0;1;0;0;0;0;0;53.6;0;0;0;0;0;1.0158;0;0;0;0
g__Prevotella;s__Prevotella_KS04925;0;1;0;0;0;0;0;62.3;0;0;0;0;0;1.7535;0;0;0;0
g__[Eubacterium]_coprostanoligenes_group;s__[Eubacterium]_coprostanoligenes_KS14185;0;1;0;0;0;0;0;51.4;0;0;0;0;0;0.3978;0;0;0;0
g__Prevotella;s__Prevotella_copri;0;1;0;0;0;0;0;68.5;0;0;0;0;0;2.182;0;0;0;0
g__Prevotella;s__Prevotella_copri;0;1;0;0;0;0;0;66.7;0;0;0;0;0;1.875;0;0;0;0
g__Sporobacter;s__Sporobacter_termitidis;0;0;1;0;0;0;0;0;61.3;0;0;0;0;0;0.2459;0;0;0
g__Ruminococcaceae_uncultured;s__Ruminococcaceae_uncultured_KS15735;0;0;1;0;0;0;0;0;55.6;0;0;0;0;0;0.3992;0;0;0
